,returns,epochs,method
0,24.434146341463414,0,GAE
1,29.13953488372093,1,GAE
2,30.119760479041915,2,GAE
3,33.785234899328856,3,GAE
4,37.99242424242424,4,GAE
5,40.86290322580645,5,GAE
6,44.767857142857146,6,GAE
7,48.650485436893206,7,GAE
8,51.316326530612244,8,GAE
9,53.6063829787234,9,GAE
10,58.24418604651163,10,GAE
11,64.47435897435898,11,GAE
12,66.60526315789474,12,GAE
13,64.74358974358974,13,GAE
14,76.96923076923076,14,GAE
15,68.84931506849315,15,GAE
16,92.81481481481481,16,GAE
17,95.32075471698113,17,GAE
18,110.23913043478261,18,GAE
19,125.92682926829268,19,GAE
20,138.48648648648648,20,GAE
21,161.70967741935485,21,GAE
22,181.89655172413794,22,GAE
23,210.625,23,GAE
24,193.62962962962962,24,GAE
25,244.04761904761904,25,GAE
26,241.42857142857142,26,GAE
27,273.8421052631579,27,GAE
28,309.94117647058823,28,GAE
29,327.5,29,GAE
30,278.27777777777777,30,GAE
31,295.8333333333333,31,GAE
32,367.2142857142857,32,GAE
33,362.1333333333333,33,GAE
34,402.7692307692308,34,GAE
35,420.46153846153845,35,GAE
36,456.0,36,GAE
37,424.6666666666667,37,GAE
38,438.9166666666667,38,GAE
39,417.46153846153845,39,GAE
40,477.72727272727275,40,GAE
41,428.0,41,GAE
42,451.0833333333333,42,GAE
43,462.72727272727275,43,GAE
44,475.27272727272725,44,GAE
45,450.25,45,GAE
46,485.90909090909093,46,GAE
47,463.3636363636364,47,GAE
48,447.1666666666667,48,GAE
49,468.72727272727275,49,GAE
50,21.55603448275862,0,GAE
51,26.277486910994764,1,GAE
52,26.326315789473686,2,GAE
53,32.0,3,GAE
54,31.142857142857142,4,GAE
55,36.98529411764706,5,GAE
56,39.09375,6,GAE
57,38.29007633587786,7,GAE
58,44.10434782608696,8,GAE
59,47.971698113207545,9,GAE
60,48.56730769230769,10,GAE
61,52.65263157894737,11,GAE
62,56.95454545454545,12,GAE
63,62.39506172839506,13,GAE
64,58.66279069767442,14,GAE
65,64.0,15,GAE
66,65.8961038961039,16,GAE
67,70.16666666666667,17,GAE
68,70.3013698630137,18,GAE
69,83.9,19,GAE
70,92.85185185185185,20,GAE
