method,returns,epochs
Vanilla,20.5,1
Reward to go,16.24025974025974,1
Vanilla,25.13065326633166,2
Reward to go,17.493006993006993,2
Vanilla,29.922619047619047,3
Reward to go,19.509727626459146,3
Vanilla,36.007194244604314,4
Reward to go,21.795652173913044,4
Vanilla,37.721804511278194,5
Reward to go,24.890547263681594,5
Vanilla,41.34710743801653,6
Reward to go,26.465608465608465,6
Vanilla,45.82727272727273,7
Reward to go,28.050279329608937,7
Vanilla,47.905660377358494,8
Reward to go,33.858108108108105,8
Vanilla,50.888888888888886,9
Reward to go,35.32394366197183,9
Vanilla,58.47727272727273,10
Reward to go,40.395161290322584,10
Vanilla,61.03658536585366,11
Reward to go,37.96212121212121,11
Vanilla,60.6144578313253,12
Reward to go,46.5,12
Vanilla,70.06944444444444,13
Reward to go,45.17857142857143,13
Vanilla,70.02777777777777,14
Reward to go,50.717171717171716,14
Vanilla,74.7910447761194,15
Reward to go,57.93181818181818,15
Vanilla,97.67307692307692,16
Reward to go,52.915789473684214,16
Vanilla,103.44897959183673,17
Reward to go,58.88235294117647,17
Vanilla,101.26,18
Reward to go,57.48275862068966,18
Vanilla,141.63888888888889,19
Reward to go,65.15384615384616,19
Vanilla,148.02941176470588,20
Reward to go,70.70422535211267,20
Vanilla,139.72972972972974,21
Reward to go,69.94444444444444,21
Vanilla,131.07692307692307,22
Reward to go,75.29850746268657,22
Vanilla,136.1891891891892,23
Reward to go,76.42424242424242,23
Vanilla,129.82051282051282,24
Reward to go,80.0952380952381,24
Vanilla,136.83783783783784,25
Reward to go,114.8409090909091,25
Vanilla,176.10344827586206,26
Reward to go,107.06382978723404,26
Vanilla,140.66666666666666,27
Reward to go,132.3421052631579,27
Vanilla,148.88571428571427,28
Reward to go,153.6060606060606,28
Vanilla,158.875,29
Reward to go,183.14285714285714,29
Vanilla,166.03225806451613,30
Reward to go,170.43333333333334,30
Vanilla,202.8,31
Reward to go,217.45833333333334,31
Vanilla,214.125,32
Reward to go,218.91666666666666,32
Vanilla,264.35,33
Reward to go,204.84,33
Vanilla,334.26666666666665,34
Reward to go,248.0,34
Vanilla,291.1111111111111,35
Reward to go,293.1111111111111,35
Vanilla,296.88235294117646,36
Reward to go,347.1333333333333,36
Vanilla,353.06666666666666,37
Reward to go,373.64285714285717,37
Vanilla,343.93333333333334,38
Reward to go,448.6666666666667,38
Vanilla,390.3076923076923,39
Reward to go,381.07142857142856,39
Vanilla,408.38461538461536,40
Reward to go,402.7692307692308,40
Vanilla,361.53333333333336,41
Reward to go,433.5,41
Vanilla,350.3333333333333,42
Reward to go,394.15384615384613,42
Vanilla,282.5,43
Reward to go,452.5833333333333,43
Vanilla,234.3181818181818,44
Reward to go,418.3076923076923,44
Vanilla,198.03846153846155,45
Reward to go,471.0,45
Vanilla,167.26666666666668,46
Reward to go,459.6363636363636,46
Vanilla,152.45454545454547,47
Reward to go,468.72727272727275,47
Vanilla,134.26315789473685,48
Reward to go,457.4166666666667,48
Vanilla,134.76315789473685,49
Reward to go,425.9166666666667,49
Vanilla,122.85365853658537,50
Reward to go,456.27272727272725,50
Vanilla,16.696666666666665,1
Reward to go,23.509345794392523,1
Vanilla,18.87547169811321,2
Reward to go,26.10880829015544,2
Vanilla,20.95397489539749,3
Reward to go,29.63905325443787,3
Vanilla,23.95693779904306,4
Reward to go,31.936305732484076,4
Vanilla,26.80851063829787,5
Reward to go,35.05594405594405,5
Vanilla,28.372881355932204,6
Reward to go,41.36363636363637,6
Vanilla,30.699386503067483,7
Reward to go,40.9349593495935,7
Vanilla,34.55862068965517,8
Reward to go,47.45794392523364,8
Vanilla,35.81428571428572,9
Reward to go,50.707070707070706,9
Vanilla,36.52554744525548,10
Reward to go,55.02197802197802,10
Vanilla,41.396694214876035,11
Reward to go,56.69662921348315,11
Vanilla,43.53913043478261,12
Reward to go,60.33734939759036,12
Vanilla,43.88695652173913,13
Reward to go,64.6025641025641,13
Vanilla,49.3235294117647,14
Reward to go,65.15584415584415,14
Vanilla,50.11,15
Reward to go,77.89393939393939,15
Vanilla,51.72164948453608,16
Reward to go,89.17241379310344,16
Vanilla,55.40659340659341,17
Reward to go,96.8076923076923,17
Vanilla,52.489583333333336,18
Reward to go,106.125,18
Vanilla,55.82222222222222,19
Reward to go,113.75,19
Vanilla,50.98989898989899,20
Reward to go,131.48717948717947,20
Vanilla,55.8,21
Reward to go,126.02439024390245,21
Vanilla,53.829787234042556,22
Reward to go,145.31428571428572,22
Vanilla,59.76190476190476,23
Reward to go,157.6969696969697,23
Vanilla,65.24675324675324,24
Reward to go,194.92307692307693,24
Vanilla,60.5,25
Reward to go,169.26666666666668,25
Vanilla,67.71621621621621,26
Reward to go,171.43333333333334,26
Vanilla,77.31818181818181,27
Reward to go,204.04,27
Vanilla,78.24615384615385,28
Reward to go,229.36363636363637,28
Vanilla,74.65671641791045,29
Reward to go,248.71428571428572,29
Vanilla,72.92753623188406,30
Reward to go,267.05,30
Vanilla,81.61290322580645,31
Reward to go,287.6111111111111,31
Vanilla,83.36666666666666,32
Reward to go,348.0,32
Vanilla,82.60655737704919,33
Reward to go,335.06666666666666,33
Vanilla,89.26315789473684,34
Reward to go,415.6923076923077,34
Vanilla,85.30508474576271,35
Reward to go,425.25,35
Vanilla,87.41379310344827,36
Reward to go,447.5,36
Vanilla,96.62264150943396,37
Reward to go,421.8333333333333,37
Vanilla,96.4423076923077,38
Reward to go,429.8333333333333,38
Vanilla,108.65957446808511,39
Reward to go,478.6363636363636,39
Vanilla,128.975,40
Reward to go,487.8181818181818,40
Vanilla,140.47222222222223,41
Reward to go,440.75,41
Vanilla,173.13793103448276,42
Reward to go,483.3636363636364,42
Vanilla,179.25,43
Reward to go,485.6363636363636,43
Vanilla,204.96153846153845,44
Reward to go,474.8181818181818,44
Vanilla,219.0,45
Reward to go,475.8181818181818,45
